age,monthly_income,loan_amount,tenure_months,num_credit_lines,job_type,education_level,city,marital_status,has_previous_default,target
38.0,20260831.0,57014732.0,22.0,8.0,employee,high_school,Yogyakarta,married,0.0,1
60.0,31903885.0,38316806.0,42.0,0.0,employee,master,Jakarta,divorced,0.0,0
60.0,4849205.0,39483591.0,67.0,5.0,freelance,bachelor,Bekasi,single,0.0,0
36.0,18332229.0,49050971.0,6.0,6.0,employee,bachelor,Jakarta,divorced,0.0,1
59.0,19986355.0,20811004.0,45.0,4.0,civil_servant,master,Surabaya,married,1.0,0
54.0,33890439.0,47898683.0,70.0,9.0,freelance,diploma,Yogyakarta,single,0.0,1
46.0,17262208.0,54032553.0,41.0,6.0,employee,diploma,Bandung,married,0.0,1
54.0,14440349.0,7782366.0,41.0,1.0,employee,bachelor,Jakarta,divorced,0.0,0
51.0,27757242.0,8436453.0,43.0,4.0,civil_servant,high_school,Bekasi,single,0.0,0
60.0,8952581.0,44936653.0,40.0,10.0,employee,bachelor,Yogyakarta,married,0.0,0
36.0,5230077.0,9137086.0,9.0,3.0,freelance,master,Bekasi,single,0.0,0
24.0,7530732.0,5169456.0,18.0,0.0,entrepreneur,high_school,Bandung,divorced,0.0,0
39.0,33012972.0,6250651.0,17.0,0.0,employee,high_school,Bekasi,divorced,0.0,0
33.0,5331158.0,49828537.0,42.0,1.0,employee,high_school,Bandung,married,0.0,0
40.0,8144095.0,24668085.0,64.0,0.0,freelance,master,Bandung,divorced,0.0,1
57.0,33376273.0,27154346.0,35.0,6.0,freelance,high_school,Bandung,married,0.0,0
59.0,30523039.0,76459291.0,50.0,1.0,entrepreneur,bachelor,Jakarta,divorced,0.0,0
48.0,12348833.0,26767062.0,9.0,8.0,freelance,bachelor,Jakarta,single,0.0,0
46.0,34134073.0,42893620.0,27.0,0.0,entrepreneur,diploma,Surabaya,married,0.0,1
32.0,34943422.0,4243911.0,31.0,5.0,employee,master,Surabaya,divorced,0.0,1
21.0,6787414.0,57207972.0,12.0,3.0,civil_servant,bachelor,Bekasi,single,0.0,1
36.0,16789498.0,10666154.0,36.0,0.0,civil_servant,diploma,Yogyakarta,married,0.0,1
39.0,17839987.0,76478945.0,14.0,3.0,civil_servant,diploma,Surabaya,divorced,0.0,0
30.0,9011423.0,73546144.0,69.0,10.0,entrepreneur,bachelor,Bekasi,single,0.0,1
52.0,19313536.0,6347230.0,28.0,9.0,entrepreneur,master,Bekasi,single,1.0,1
27.0,13418587.0,77656168.0,27.0,10.0,freelance,bachelor,Jakarta,single,0.0,0
40.0,15342949.0,7853618.0,42.0,10.0,civil_servant,bachelor,Surabaya,single,0.0,1
27.0,7861578.0,15042997.0,21.0,6.0,civil_servant,diploma,Jakarta,married,0.0,0
